6	57	1
6	59	1
12	59	1
13	59	1
14	56	1
15	56	1
21	57	1
24	57	1
24	58	1
24	59	1
27	56	1
28	56	1
28	57	1
29	56	1
29	58	1
35	57	1
35	58	1
35	59	1
36	56	1
36	57	1
37	56	1
37	57	1
37	58	1
38	58	1
40	56	1
40	58	1
41	56	1
41	58	1
42	59	1
44	56	1
45	56	1
45	58	1
46	56	1
47	56	1
48	55	1
48	56	1
48	57	1
48	58	1
49	55	1
49	56	1
49	57	1
49	58	1
50	55	1
50	56	1
50	57	1
50	58	1
51	55	1
51	56	1
51	57	1
51	58	1
52	56	1
52	58	1
52	59	1
53	56	1
53	58	1
54	56	1
54	58	1
55	11	1
55	15	1
55	19	1
55	30	1
55	31	1
55	48	1
55	56	1
55	60	1
55	61	1
55	62	1
56	15	1
56	16	1
56	19	1
56	30	1
56	31	1
56	48	1
56	50	1
56	55	1
56	58	1
56	60	1
56	62	1
57	16	1
57	17	1
57	19	1
57	47	1
57	50	1
57	55	1
57	56	1
57	58	1
57	60	1
57	62	1
57	63	1
58	17	1
58	19	1
58	56	1
58	57	1
58	59	1
58	62	1
58	63	1
59	19	1
59	54	1
59	56	1
59	58	1
59	61	1
59	62	1
60	56	1
60	58	1
61	55	1
61	56	1
61	58	1
61	59	1
62	56	1
62	58	1
62	59	1
63	56	1
63	57	1
63	58	1
